"SlNo","ItemCode","Item Name","UOM","Stock","LRD","LID","Value","BalValue","W/of Date","C/R/I/ST","Location",""
"1553","6201126","CFL STREET LIGHT LUMINAIRE WITH LAMP","SET","3","26-May-2017","9-May-2018","9000.00","","","","",""
"1554","6201129","GLS BULB 40 WATTS, 230/250V, GRADE 2 PIN B 22  C","NOS","18","6-Dec-2017","27-Jul-2018","334.40","","","","",""
"1555","6202003","HIGH PRESSURE MERCURY VAPOUR LAMP 250 WAT","NOS","35","6-Sep-2017","5-Jan-2018","7118.65","","","","",""
"1556","6202005","MERCURY VAPOUR HIGHBAY FITTINGS SUITABLE F","NOS","8","12-Feb-2018","6-Oct-2017","15576.00","","","","",""
"1557","6203001","HIGH PRESSURE SODIUM VAPOUR LAMP","NOS","6","6-Sep-2017","8-May-2018","5642.65","","","","",""
"1558","6203004","ELECTRONIC IGNITOR SUITABLE FOR 70 / 250 / 400","NOS","18","6-Sep-2017","8-May-2018","5153.26","","","","",""
"1559","6203005","HIGH PRESSURE SODIUM  VAPOUR LUMINAIRE STR","NOS","10","6-Sep-2017","2-Dec-2016","23046.90","","","","",""
"1560","6203010","HIGH PRESSURE SODIUM VAPOUR LAMP 70","NOS","10","6-Dec-2017","8-May-2018","5587.00","","","","",""
"1561","6203011","HIGH PRESSURE SODIUM VAPOUR STREET LIGHT F","NOS","8","6-Sep-2017","21-Feb-2018","12514.56","","","","",""
"1562","6203018","FLOOD LIGHT LUMINAIRE(NON-INTEGRAL TYPE) FO","NOS","4","17-Jul-2015","2-Dec-2016","12623.20","","","","",""
"1563","6203021","CAST ALUMINIUM WEATHER PROOF CONTROL","NOS","7","8-Dec-2014","29-Nov-2016","13940.76","","","","",""
"1564","6203022","AVIATION OBSTRUCTION LUMINAIRE WITH CAST A","NOS","2","15-May-2010","5-Mar-2016","7297.33","","","","",""
"1565","6203023","HIGH PRESSURE SODIUM VAPOUR LAMP","NOS","9","6-Sep-2017","28-Jun-2018","6573.70","","","","",""
"1566","6207003","PEST-O-FLASH SPARE: TUBE LIGHT STARTER 110V","NOS","10","13-Sep-2013","27-Feb-2018","194.66","","","","",""
"1567","6208007","HEAVY DUTY POLYSTER FILLED COPPER WOUND","NOS","7","6-Sep-2017","8-May-2018","13770.61","","","","",""
"1568","6208013","HEAVY DUTY POLYSTER FILLED COPPER WOUND B","NOS","2","6-Sep-2017","21-Jun-2018","6871.01","","","","",""
"1569","6209004","ANGLE HOLDER 240V GRADE DELUXE IVORY,","NOS","8","16-Nov-2015","16-Apr-2016","160.00","","","","",""
"1570","6209015","STARTER BASE HOLDER   DUST PROOF BARREL S","NOS","75","3-Nov-2017","9-Jun-2018","760.00","","","","",""
"1571","6209016","SCREW TYPE BULB  HOLDER  E-27 SUITABLE FOR","NOS","10","28-Nov-2015","30-Jun-2015","450.00","","","","",""
"1572","6210002","FLUSH TYPE SWITCH 6A, 240V GRADE ONE WAY PE","NOS","50","19-Sep-2016","6-Jul-2018","899.42","","","","",""
"1573","6210005","FLUSH TYPE SWITCH BELL PUSH 6A, 240V GRADE, P","NOS","4","7-Jan-2017","2-Nov-2017","83.50","","","","",""
"1574","6210017","FLUSH TYPE SWITCH SOCKET 5 IN ONE, 20/10A, 24","NOS","2","1-Sep-2017","13-Jun-2018","1035.00","","","","",""
"1575","6210018","FLUSH TYPE SWITCH SOCKET COMBINED 6A, 240V G","NOS","85","1-Sep-2017","30-Apr-2018","4487.40","","","","",""
"1576","6210023","3 PIN TOP 6 AMPS 240 V GRADE PLUG TOP POLYCAR","NOS","47","12-Dec-2015","21-Jun-2018","1892.48","","","","",""
"1577","6210028","3 PIN TOP 16 AMPS, 240 V GRADE PLUG TOP POLYCA","NOS","10","12-Dec-2015","22-Mar-2017","459.75","","","","",""
"1578","6210031","SPRING LOADED ROTARY LOCK HOLDER  FOR 36/","NOS","49","29-Aug-2017","16-May-2018","792.00","","","","",""
"1579","6210049","5A TWO WAY SWITCH CAT NO.26402 A MK TYPE.","NOS","1","7-Jan-2017","27-Dec-2017","71.00","","","","",""
"1580","6210050","16 AMPS RATING ONE WAY SWITCH  WITH INDICAT","NOS","2","7-Jan-2017","1-Sep-2016","216.00","","","","",""
"1581","6210051","6 / 5 AMPS RATING  3 PIN SOCKET OUTLET  CAT NO","NOS","1","20-Dec-2000","28-Dec-2009","5.04","","","","",""
"1582","6210053","6/ 16 AMPS RATING 3 PIN COMBINED SHUTTERED S","NOS","16","26-Sep-2007","1-Sep-2012","1624.87","","","","",""
"1583","6210054","5 / 6 AMPS RATING ONE WAY SP PUSH SWITCH WIT","NOS","9","26-Sep-2007","4-Nov-2015","708.75","","","","",""
"1584","6210055","FAN REGULATOR, DELUXE SERIES 100WATT/240V A","NOS","10","1-Sep-2017","6-May-2017","1200.00","","","","",""
"1585","6210072","FAN SPEED CONTROLLER 400 W CAT NO.26481 MK I","NOS","5","1-Sep-2017","14-Jul-2017","1880.00","","","","",""
"1586","6211011","PVC COUPLING 1/2""","NOS","10","20-Mar-2014","28-Mar-2014","1638.54","","","","",""
"1587","6211014","PVC TEE 12MM","NOS","119","","16-Jul-2005","0.93","","","","",""
"1588","6211044","PVC WATER BAR SINTEX MAKE 150 mm THICK","NOS","50","16-Nov-1994","30-Mar-1995","228.12","","","","",""
"1589","6212004","M.S.METAL BOX  250 X 200 X 75 MM SHEET THICKNE","NOS","5","21-May-2016","22-Sep-2017","2160.00","","","","",""
"1590","6212005","M.S.METAL BOX  300 X 200 X 75 MM SHEET THICKNE","NOS","3","21-May-2016","22-Sep-2017","1099.20","","","","",""
"1591","6212008","M.S  METAL BOX  250 X 150 X 75 MM SHEET THICKNE","NOS","5","21-May-2016","22-Sep-2017","1831.50","","","","",""
"1592","6212009","M.S. METAL  BOX 300 X 450 X 75 MM SHEET THICKNE","NOS","4","29-Oct-2010","17-Nov-2016","2630.00","","","","",""
"1593","6212013","SINTEX  MAKE HOT PRESS MOUNTED SMC JUNCTIO","NOS","9","30-Jun-2017","2-Nov-2017","2324.70","","","","",""
"1594","6212014","SINTEX  MAKE HOT PRESS MOUNTED SMC  JUNCTI","NOS","12","30-Jun-2017","9-Jan-2018","2940.00","","","","",""
"1595","6212018","-DO- OUTER DIMENSION 333X233X120MM AND INNE","NOS","10","30-Jun-2017","9-Jan-2018","6020.00","","","","",""
"1596","6212019","SINTEX MAKE HOT PRESS MOUNTED SMC JUNCTIO","NOS","3","15-Feb-2005","30-Dec-2013","889.50","","","","",""
"1597","6212020","-DO-OUTER DIMENSION 430 X 265 X 170 MM AND IN","NOS","8","30-Jun-2017","9-Aug-2017","6310.40","","","","",""
"1598","6212021","-DO-OUTER DIMENSION 560 X 280 X 170 MM AND IN","NOS","1","19-Feb-2014","5-Nov-2014","1461.00","","","","",""
"1599","6214002","TEAK WOOD BOX 150X150MM","NOS","27","","30-Mar-2002","1.52","","","","",""
"1600","6215006","GE POWER CONTROLS  / COOPER BUSSMANMAKE H","NOS","3","16-Nov-2015","13-May-2015","665.00","","","","",""
"1601","6215008","GE POWER  CONTROLS MAKE HBC, BOLTED TYPE  F","NOS","3","10-Dec-2016","6-Sep-2016","1077.00","","","","",""
"1602","6215009","GE POWER / COOPER BUSSMANN CONTROLS  MAK","NOS","3","8-Apr-2014","29-Oct-2012","884.00","","","","",""
"1603","6215010","GE POWER CONTROLS/ COOPER BUSSMANN  MAK","NOS","1","4-Nov-2017","29-May-2018","1640.21","","","","",""
"1604","6215013","GE POWER  CONTROL/ COPPER BUSSMAN  MAKE H","NOS","9","12-Mar-2016","19-Oct-2015","248.95","","","","",""
"1605","6215014","L & T MAKE HRC FUSE LINKS TYPE HN FOR 415 V, 5","NOS","22","17-Nov-2006","22-Aug-2014","468.76","","","","",""
"1606","6215015","GE POWER CONTROL MAKE HBC FUSE LINKS BS T","NOS","14","7-Jan-2012","26-Aug-2014","450.62","","","","",""
"1607","6215017","SIEMENS MAKE HRC FUSE LINKS 415 VOLTS , AC 50","NOS","3","17-Jul-2014","19-Sep-2016","630.00","","","","",""
"1608","6215023","GE POWER / COOPER BUSS MANN CONTROLS MAK","NOS","4","8-Apr-2014","3-Aug-2012","632.00","","","","",""
"1609","6215026","L&T MAKE HRC LINKS TYPE HN FOR 415V, 50HZ SUI","NOS","9","26-Sep-2017","6-Mar-2017","2475.00","","","","",""
"1610","6215031","GE POWER  CONTROL / COOPER BUSSMANMAKE H","NOS","3","16-Nov-2015","24-Dec-2014","1021.00","","","","",""
"1611","6215033","GE POWER CONTROLS HBC BOLTED FUSE LINK WI","NOS","3","12-Mar-2016","19-Oct-2015","449.00","","","","",""
"1612","6215041","GE POWER CONTROLS HBC BOLTED FUSE LINK WI","NOS","3","12-Mar-2016","6-Nov-2015","873.00","","","","",""
"1613","6215048","SIEMENS MAKE HRC FUSE LINKS 415 VOLTS, AC, 50","NOS","6","17-Jul-2014","14-Mar-2014","1062.00","","","","",""
"1614","6215049","GE POWER CONTROLS MAKE PANNEL MOUNTING S","NOS","1","10-Dec-2016","1-Feb-2016","4905.00","","","","",""
"1615","6215050","GE POWERS MAKE PANNEL MOUNTING SWITCH DI","NOS","1","16-Nov-2015","","9088.00","","","","",""
"1616","6216004","TINNED FUSE COPPER WIRE 25 SWG","KGS","2","23-Dec-2016","16-Jun-2015","1400.00","","","","",""
"1617","6216005","TINNED FUSE COPPER WIRE 30 SWG","KGS","2","23-Dec-2016","16-Jun-2015","1568.00","","","","",""
"1618","6217003","FUSE UNIT 30/32 AMPS","NOS","6","","24-Oct-2015","3.82","","","","",""
"1619","6217009","300 A LUG TYPE FUSE CARRIER WITH BASE (PORCEL","NOS","4","13-Sep-2016","14-Jul-2015","2916.00","","","","",""
"1620","6220020","HEAVY DUTY BRASS BATTERY TERMINAL WITH SU","SET","10","23-Dec-2016","9-Sep-2016","1950.00","","","","",""
"1621","6220049","L&T MAKE MN2 TYPE BIMITED OVER LOAD RELAY R","NOS","1","18-Feb-1999","16-Jul-2005","33.24","","","","",""
"1622","6220051","SALZAR MAKE 10A , AMMETER SELECTOR SWITCH,","NOS","4","21-Dec-2015","30-Jul-2015","878.00","","","","",""
"1623","6220060","SALZER MAKE 6A, VOLTMETER SELECTOR SWITCH","NOS","2","20-Dec-2016","14-Aug-2017","256.00","","","","",""
"1624","6301016","SQUARE ROD ASSEMBLY FOR ICDP 240 V, 16 AMPS","NOS","1","26-Dec-2013","31-May-2017","118.66","","","","",""
"1625","6301020","FUSE BASE FOR, ICDP 240 V, 16 Amps SWITCH.","NOS","1","12-Apr-2013","16-Mar-2017","187.50","","","","",""
"1626","6301022","FUSE BASE FOR , ICTP 415 V , 16 Amps SWITCH","NOS","4","29-Dec-2006","15-Mar-2014","5.00","","","","",""
"1627","6301024","FUSE CARRIER FOR , ICDP 240 V , 16 Amps SWITCH","NOS","6","29-Dec-2006","13-May-2013","3.75","","","","",""
"1628","6301029","HANDLE FOR , ICDP 240 V , 32 Amps SWITCH","NOS","2","14-May-2008","16-Mar-2017","40.80","","","","",""
"1629","6302021","E.E MAKE SWITCH 110 AMPS AND 415V","NOS","1","","14-Jul-2005","9.09","","","","",""
"1630","6302022","E.E MAKE SWITCH TYPE SP02, AC 415 VOLTS 63AMP","NOS","12","24-Feb-1999","22-Nov-2017","394.18","","","","",""
"1631","6302023","GE POWER CONTROLS MAKE PANEL MOUNTING","NOS","10","19-Jun-2003","30-Dec-2013","567.91","","","","",""
"1632","6302025","GE POWER CONTROLS MAKE TYPE  CMM, 125 AMP","NOS","3","8-Mar-2001","19-Mar-1999","374.83","","","","",""
"1633","6302026","GE POWER CONTROLS  MAKE TYPE CMM 250 AMP","NOS","1","28-Sep-1994","15-Jul-2005","154.87","","","","",""
"1634","6302027","GE POWER CONTROLS MAKE TYPE CMM 400 AMPS","NOS","1","28-Sep-1994","15-Jul-2005","220.66","","","","",""
"1635","6302028","GE POWER CONTROLS MAKE PANNEL MOUNTING T","NOS","4","10-Dec-2016","21-May-2016","5712.24","","","","",""
"1636","6302029","GE POWER CONTROLS  MAKE PANNEL MOUNTING S","NOS","1","15-Sep-2007","15-Jul-2005","3064.00","","","","",""
"1637","6302031","MDS LOAD CONTACT -D-3000 TPN DISTRIBUTION B","SET","1","22-Oct-1992","15-Jul-2005","140.77","","","","",""
"1638","6302044","GE POWERCONTROLS  MAKE TYPE CMM 200 AMPS","NOS","1","10-Dec-2016","23-Dec-2015","8760.00","","","","",""
"1639","6302054","GE POWER  CONTROL  MAKE TRIPLE POLE","NOS","1","15-Jul-2015","2-Dec-2014","25960.00","","","","",""
"1640","6302203","GE POWER CONTRROLS/COOPER BUSSMANN MAK","NOS","11","4-Nov-2017","27-Jan-2017","2405.08","","","","",""
"1641","6302209","GE POWER CONTROLS  / COOPER BUSSMANMAKE M","NOS","6","12-Mar-2016","13-May-2015","511.00","","","","",""
"1642","6302210","GE POWER CONTROLS  MAKE MOULDED FUSE HOL","NOS","6","13-Mar-1999","12-Apr-2010","18.51","","","","",""
"1643","6302211","GEC ALSTHOM MAKE MOULDED FUSE HOLDER  20 A","NOS","24","19-Apr-2003","","733.38","","","","",""
"1644","6302215","DB WITH INDUSTRIAL METAL PLUG AND SOCKET 20","NOS","2","23-Sep-2016","7-Jul-2018","4925.00","","","","",""
"1645","6302216","DB WITH INDUSTRIAL METAL PLUG AND SOCKET 20","NOS","4","23-Sep-2016","6-Jun-2018","4925.00","","","","",""
"1646","6302220","MCB ,FOUR POLE  16A .","NOS","1","29-Jul-2016","4-Oct-2017","818.00","","","","",""
"1647","6302221","RCBO WITH EARTH LEAKAGE OVERLOAD&SHORT C","NOS","5","19-Sep-2016","16-Feb-2016","13225.00","","","","",""
"1648","6302222","RCBO WITH EARTH LEAKAGE, OVERLOAD&SHORT C","NOS","5","29-Jul-2016","16-Feb-2016","13640.00","","","","",""
"1649","6302226","RCBO WITH EARTH LEAKAGE, OVERLOAD & SHORT","NOS","1","12-Dec-2012","1-Mar-2016","2169.80","","","","",""
"1650","6302227","MCB TPN DISTRIBUTION BOARD DOUBLE DOOR TY","NOS","1","1-Sep-2017","10-Feb-2016","8439.00","","","","",""
"1651","6302229","RCBO WITH EARTH LEAKAGE, OVERLOAD&SHORT C","NOS","1","23-Oct-2014","15-Feb-2018","2616.00","","","","",""
"1652","6302236","DISTRIBUTION BOARD IN SHEET ENCLOSURE, HRC F","NOS","1","13-Sep-2016","16-Jan-2016","8652.00","","","","",""
"1653","6302239","RCBO WITH EARTH LEAKAGE, OVERLOAD&SHORT","NOS","4","1-Sep-2017","18-Dec-2017","9560.00","","","","",""
"1654","6306008","MENCO BRAND  CHANGEOVER SWITCH, METAL CL","NOS","1","15-Oct-1997","","125.37","","","","",""
"1655","6309001","GE POWER CONTROLS/COOPER BUSSMANN   MAK","NOS","3","17-Nov-2017","11-Apr-2018","34443.75","","","","",""
"1656","6309003","GE POWER CONTROLS MAKE WALL MOUNTED TPN","NOS","1","10-Dec-2016","23-May-2015","18687.00","","","","",""
"1657","6309024","PULL CORD SWITCH WITH 1 NO+ 1 NC, CONTACT","NOS","19","29-Jun-2016","27-May-2016","23117.29","","","","",""
"1658","6309025","DOUBLE DISPLAYMENT TYPE LEVEL","NOS","2","5-Dec-2015","10-Nov-2014","26989.00","","","","",""
"1659","6309033","GE MAKE TP MOVING CONTACT ASSEMBLY SUITA","NOS","2","16-Nov-2015","13-May-2015","6976.00","","","","",""
"1660","6309034","GE MAKE TP SHROUDED BASE ASSEMBLY SUITAB","NOS","2","1-Feb-2016","19-Oct-2015","8047.00","","","","",""
"1661","6309035","GE MAKE TP MOVING CONTACT ASSEMBLY SUITA","NOS","3","7-Nov-2014","20-Apr-2018","17615.00","","","","",""
"1662","6309036","GE MAKE TP SHROUDED BASE ASSEMBLY SUITAB","NOS","3","7-Nov-2014","20-Apr-2018","21857.00","","","","",""
"1663","6309037","GE MAKE TP MOVING CONTACT ASSEMBLY SUITA","NOS","4","20-Nov-2014","29-Oct-2012","24853.00","","","","",""
"1664","6309039","GE MAKE TP MOVING CONTACT ASSEMBLY SUITA","NOS","4","20-Nov-2014","25-Nov-2013","23029.00","","","","",""
"1665","6309042","SIEMENS MAKE HEAVY DUTY TPN SWITCH","NOS","2","9-Mar-2009","6-Feb-2017","159.39","","","","",""
"1666","6309043","GE POWER CONTROLS MAKE PANNEL MOUNTING S","NOS","1","10-Dec-2016","1-Jun-2015","6499.00","","","","",""
"1667","6310001","L&T MAKE 32 A SWITCH FUSE UNIT IN SHEET STEE","NOS","15","20-Dec-2016","20-Jun-2016","39750.00","","","","",""
"1668","6310005","SALZER MAKE 6A, AMMETER SELECTOR SWITCH, C","NOS","3","26-Sep-2017","6-Mar-2017","525.00","","","","",""
"1669","6310027","L&T MAKE ON-OFF SWITCH, TYPE NO.SG 16 61199 B","NOS","7","21-Jan-2013","22-Aug-2015","1778.00","","","","",""
"1670","6310028","L&T MAKE ON-OFF SWITCH, TYPE NO.S6 61001, B13","NOS","5","1-Apr-2016","16-Jan-2016","415.00","","","","",""
"1671","6311037","MCB,  SINGLE POLE 16 AMPS.","NOS","1","16-Mar-2017","22-Feb-2018","150.00","","","","",""
"1672","6311040","MCB, THREE POLE 63 Amps.","NOS","2","29-Jul-2016","15-Sep-2017","1858.00","","","","",""
"1673","6311043","MCB, SINGLE POLE 6 AMPS","NOS","8","16-Mar-2017","16-Oct-2017","1200.00","","","","",""
"1674","6315002","BUTT CONNECTORS 10SQMM","NOS","144","","23-Oct-2007","2.78","","","","",""
"1675","6315004","BUTT CONNECTORS 25SQMM","NOS","70","","23-Oct-2007","2.33","","","","",""
"1676","6401002","AC AMMETER  0-800 CTR , RANGE 0-800 TO 800/5A","NOS","1","","1-Dec-2001","4.44","","","","",""
"1677","6401003","A.C AMMETER 144MM CTR , RANGE  0-30 AMPS ,30/","NOS","1","","17-Nov-2007","5.71","","","","",""
"1678","6401009","AC AMMETER 0-1200 CTR , RANGE  1200/5A, 96MM S","NOS","1","","17-Nov-2007","4.44","","","","",""
"1679","6401010","MECO MAKE","NOS","9","15-May-2015","30-Jan-2016","6345.00","","","","",""
"1680","6401017","MOVING IRON TYPE A.C.AMMETER","NOS","3","30-Jun-2017","3-Nov-2016","940.00","","","","",""
"1681","6401020","A.C AMMETER 0-50 AMPS AC/DC","NOS","1","","21-Dec-2006","6.74","","","","",""
"1682","6401025","A.C AMMETER 0-400A,400/5A","NOS","5","24-Aug-2002","17-Jul-2013","25.33","","","","",""
"1683","6401033","MOVING COIL AC AMMETER 0-300A DIAL SIZE 950 m","NOS","4","15-Mar-1994","15-Apr-2008","40.02","","","","",""
"1684","6401036","AC AMMETER RANGE CTR 300/5A, WITH DIAL 96 MM","NOS","1","24-Aug-2002","3-Sep-2004","134.52","","","","",""
"1685","6401040","MOVING IRON TYPE AC AMMETER FLUSH","NOS","1","13-Feb-2015","21-Apr-2015","622.50","","","","",""
"1686","6401045","MOVING IRON TYPE AC AMMETER FLUSH MOUNTIN","NOS","2","30-Jun-2017","2-Aug-2017","626.67","","","","",""
"1687","6401049","MOVING IRON TYPE AC AMMETER","NOS","2","30-Jun-2017","16-Aug-2017","626.67","","","","",""
"1688","6401050","MOVING IRON TYPE AC AMMETER, FLUSH","NOS","3","30-Jun-2017","29-Jul-2015","3358.00","","","","",""
"1689","6402006","MOVING IRON TYPE AC VOLTMETER FLUSH MOUNT","NOS","3","30-Jun-2017","4-May-2018","1890.00","","","","",""
"1690","6402007","AC VOLTMETER MOVING 0-250VOLT","NOS","2","","8-Dec-2001","10.09","","","","",""
"1691","6402009","MOVING COIL TYPE DC VOLTMETER,FLUSH","NOS","17","13-Feb-2015","4-Sep-2015","12971.00","","","","",""
"1692","6414004","L&T SINGLE PHASE ENERGY METER 240V, AC, 50HZ","NOS","1","29-Jul-2013","17-Mar-2017","1230.00","","","","",""
"1693","6416009","KAYCEE/DASMESH MAKE BULK'C' TYPEWATERMETE","NOS","1","21-Jan-2016","30-Jan-2016","7430.00","","","","",""
"1694","6420002","METER 145 MM KW,  0-400KW","NOS","1","","31-Mar-1989","63.84","","","","",""
"1695","6422001","CURRENT TRANSFORMER 200/5","NOS","19","15-Oct-2003","19-May-2015","142.10","","","","",""
"1696","6422004","BAN PRIMARY  LOW TENSION RING TYPE CURRENT","NOS","29","15-Oct-2003","2-Nov-2016","200.41","","","","",""
"1697","6422008","SHEPHERED MAKE SINGLE PHASE DOUBLE WOUN","NOS","1","24-Jul-1996","10-Sep-2001","218.51","","","","",""
"1698","6422010","3 PHASE DOUBLE WOUND WITH ENAMELED COPPE","NOS","2","25-Jan-1999","3-Feb-1999","1025.60","","","","",""
"1699","6422019","PEST-O-FLASH SPARE: HT TRANSFORMER","NOS","2","13-Sep-2013","10-May-2016","1688.80","","","","",""
"1700","6428002","ELECTRONIC  TIMER","NOS","1","","31-Mar-1989","115.62","","","","",""
"1701","6450145","HYDROSTATIC PRESSURE TRANSMITTER","NOS","1","5-Sep-2014","7-Jun-2014","102691.00","","","","",""
"1702","6450146","ABS CUP WITH NUTS SUITABLE FOR THE ANEMOMET","NOS","2","15-May-2015","7-Oct-2017","1456.67","","","","",""
"1703","6502001","VARNISHED FIBRE GLASS SLEEVES 1MM X 1 M LEN","NOS","50","2-May-2017","30-Aug-2017","150.00","","","","",""
"1704","6502002","VARNISHED FIBRE GLASS SLEEVES 1.5 MM X  1M L","NOS","50","2-May-2017","30-Aug-2017","250.00","","","","",""
"1705","6502003","VARNISHED FIBRE GLASS SLEEVES 2 MM X 1 M LE","NOS","50","2-May-2017","30-Aug-2017","350.00","","","","",""
"1706","6502005","VARNISHED FIBRE GLASS SLEEVES  4 MM X 1 M LE","NOS","45","2-May-2017","31-May-2018","600.00","","","","",""
"1707","6502006","VARNISHED FIBRE GLASS SLEEVES 6 MM X 1M LEN","NOS","75","2-May-2017","18-Jun-2015","1425.00","","","","",""
"1708","6502007","VARNISHED FIBRE GLASS SLEEVES  8 MM X 1 M LE","NOS","65","2-May-2017","31-May-2018","1650.00","","","","",""
"1709","6502010","VARNISHED FIBRE GLASS SLEEVES 5 MM X 1 M LE","NOS","40","2-May-2017","31-May-2018","800.00","","","","",""
"1710","6506002","MELENIX PAPER 7 MILS  90 CM WIDTH","KGS","15","29-Jun-2006","3-Jul-2012","4119.00","","","","",""
"1711","6506003","MELINEX PAPER 10 MILS  90 CM WIDTH","KGS","10","10-Oct-2006","3-Jul-2012","2746.00","","","","",""
"1712","6510001","VARNISHED FIBRE GLASS CLOTH 90 CM  WIDTH 7 M","MTR","20","2-May-2016","5-Sep-2013","3008.00","","","","",""
"1713","6525004","NOMEX PAPER SANDWICHED WITH POLYSTER SU","KGS","5","16-Apr-2018","11-May-2016","","","","","",""
"1714","6525007","NOMEX PAPER SANDWICHED WITH POLYESTER S","KGS","2","16-Apr-2018","11-May-2016","","","","","",""
"1715","6525008","NOMEX PAPER SANDWICHED WITH POLYESTER S","KGS","2","16-Apr-2018","11-May-2016","","","","","",""
"1716","6602008","GEAR  MOTOR 20HP 150RPM","NOS","1","","31-Mar-1983","","","","","",""
"1717","6704003","ACRYLIC/PERPEX SHEET 735mm DIA X 25 mm THIC","NOS","1","25-Jun-1994","14-Jun-1994","182.55","","","","",""
"1718","6704007","ACRYLIC/PERPEX SHEET 850X900mm RECTANGULA","NOS","1","25-Jun-1994","14-Jun-1994","238.73","","","","",""
"1719","6705002","CORK SHEET 3MM THICK","NOS","61","","3-Feb-2011","17.65","","","","",""
"1720","6709014","INSULATING MAT OF ELASTOMER IN ONE METER W","MTR","20","6-Dec-2017","31-May-2017","17600.00","","","","",""
"1721","6712005","WHITE COTTON TAPE OF SIZE 20 MM WIDTH X 40 M","ROL","10","2-May-2017","14-Dec-2016","600.00","","","","",""
"1722","6712006","WHITE COTTON TAPE OF SIZE 25MM WIDTH X 40 M","ROL","10","2-May-2017","14-Dec-2016","750.00","","","","",""
"1723","6712016","130 C DEGREE LINERLESS ETHYLENE PROPYLENE R","ROL","3","23-Dec-2016","11-Jun-2018","3396.80","","","","",""
"1724","6714003","DR.BECK / ELANTS MAKE INSULATING VARNISH AIR","LIT","25","7-Jun-2018","22-Dec-2017","","","","","",""
"1725","6715007","HEATING ELEMENT FOR 300 mm OD","NOS","2","9-Oct-2000","10-Sep-1998","62.40","","","","",""
"1726","6715008","HEATING ELEMENT FOR 350 mm OD","NOS","1","8-Jul-1998","31-May-1999","34.32","","","","",""
"1727","6715010","SPARE TEFLON CLOTHS FOR HEATING MIRROR SI","PAI","1","30-May-2013","2-Jul-2018","2475.34","","","","",""
"1728","6715012","- DO-  SIZE 200 MM.","PAI","3","30-May-2013","19-May-2018","2025.00","","","","",""
"1729","6801021","CONTACT BLOCK FOR FRONT CONNECTION WITH I","NOS","10","26-Mar-1997","13-Mar-1998","43.53","","","","",""
"1730","6801022","CONTACT BLOCK FOR FRONT CONNECTION WITH O","NOS","40","12-Jan-1995","","168.54","","","","",""
"1731","6801027","PENDENT MOUNTING TYPE PUSH BUTTON STATIO","NOS","1","7-Nov-1997","11-Dec-2000","38.11","","","","",""
"1732","6801028","SIEMENS ACCUTATOR PENDENT MOUNTING BUSH B","NOS","1","18-Nov-1995","","45.09","","","","",""
"1733","6801029","SIEMENS MAKE HEAVY DUTY TPN UP TO 500 VOLT","NOS","8","16-Jul-2008","8-Sep-2015","4760.00","","","","",""
"1734","6801034","LAMP HOLDER WITH EXTERNAL SERVIOUS CONNEC","NOS","6","4-Feb-1998","","45.81","","","","",""
"1735","6801035","LAMP WITH BA 9S BIYONET CUP 30 V 2.5 VOLTS TY","NOS","6","4-Feb-1998","","6.10","","","","",""
"1736","6801042","SIEMENS MAKE FUSE BASE 250 A,3NH 3230.","NOS","2","25-Aug-2012","1-Mar-2016","812.00","","","","",""
"1737","6801057","22.5 MM ILLUMINATED PUSH BUTTON IN GREEN","NOS","33","28-Nov-2014","4-Apr-2017","4726.92","","","","",""
"1738","6801058","22.5 MM ILLUMINATED PUSH BUTTON IN RED","NOS","38","28-Nov-2014","4-Apr-2017","5443.12","","","","",""
"1739","6802001","L&T MAKE DIRECT ON LINE (DOL) STARTER  IN SHEE","NOS","7","26-Sep-2017","21-Mar-2017","9230.00","","","","",""
"1740","6802002","L & T MAKE DIRECT ON LINE (DOL) STARTER  IN SHE","NOS","1","26-Sep-2017","8-Mar-2017","3590.00","","","","",""
"1741","6802003","L & T MAKE DIRECT ON LINE (DOL) STARTER  IN SHE","NOS","1","21-Dec-2015","9-Jan-2012","5900.00","","","","",""
"1742","6802007","L&T MAKE DELTA STARTER  3 PHASE 75 HP MOTOR","NOS","1","26-Feb-2014","3-Jun-2017","1670.00","","","","",""
"1743","6802017","L&T THERMAL OVER LOAD REALY SUITABLE FOR M","NOS","5","26-Sep-2017","8-Mar-2017","9175.00","","","","",""
"1744","6802020","L&T THERMAL OVERLOAD REALY UNIT OF RANGE 1","NOS","4","","5-Mar-2002","79.90","","","","",""
"1745","6802027","L&T MAKE 3 POLE POWER CONTACTORS WITH 2 NO","NOS","13","26-Sep-2017","18-Jun-2018","26625.00","","","","",""
"1746","6802036","L&T THERMAL OVERLOAD RELAY SUITABLE FOR M","NOS","9","6-Oct-2004","21-Dec-2017","8449.61","","","","",""
"1747","6802037","L&T THERMAL OVERLOAD RELAY SUITABLE FOR M","NOS","5","26-Sep-2017","8-Mar-2017","9225.00","","","","",""
"1748","6802040","L&T MAKE SPARE CONTACT KIT FOR THE CONTACT","SET","2","26-Sep-2017","1-Nov-2017","3280.00","","","","",""
"1749","6802044","L&T MAKE THERMAL OVERLOAD RELAY UNIT OF RA","NOS","3","26-Sep-2017","13-Sep-2016","1605.00","","","","",""
"1750","6802047","L&T MAKE MOULDED CASE CIRCUIT BREAKER (MCC","NOS","1","26-Sep-2017","6-Mar-2017","6820.00","","","","",""
